City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,ende,-8.8432,121.6623,78.3,77,48,3.6,ID,1698505306
109,kralendijk,12.15,-68.2667,83.39,71,89,5.37,BQ,1698505306
110,princeville,45.7668,-61.2985,67.51,85,40,6.91,CA,1698505307
111,west island,-12.1568,96.8225,78.78,78,100,20.71,CC,1698505307
112,albany,42.6001,-73.9662,73.81,74,26,1.99,US,1698505257
113,flying fish cove,-10.4217,105.6791,78.48,88,75,10.36,CX,1698505307
114,vilyuchinsk,52.9306,158.4028,38.93,76,100,4.83,RU,1698505219
115,beloyarskiy,63.7119,66.6722,12.0,94,18,3.0,RU,1698505307
116,carnarvon,-24.8667,113.6333,69.06,72,6,23.33,AU,1698505308
117,boguchar,49.9358,40.545,57.56,62,12,24.63,RU,1698505308
118,fortuna,40.5982,-124.1573,39.34,100,75,10.36,US,1698505308
119,loango,-4.6719,11.8312,85.66,74,20,12.66,CG,1698505308
120,haiku-pauwela,20.9219,-156.3051,76.05,83,10,1.01,US,1698505273
121,vandalia,39.8906,-84.1988,58.12,94,100,13.8,US,1698505308
122,kapuskasing,49.4169,-82.4331,26.69,80,75,12.66,CA,1698505268
123,igarka,67.4667,86.5833,7.09,92,96,5.23,RU,1698505309
124,arawa,-6.2132,155.5367,76.28,91,22,3.13,PG,1698505309
125,chiredzi,-21.05,31.6667,98.35,17,0,10.45,ZW,1698505309
126,tamanrasset,22.785,5.5228,85.91,13,40,5.75,DZ,1698505309
127,luba,3.4568,8.5547,85.89,81,65,7.61,GQ,1698505309
128,medicine hat,50.0501,-110.6683,16.21,71,20,9.22,CA,1698505309
129,hadibu,12.65,54.0333,80.53,72,82,9.64,YE,1698505310
130,crane,31.3974,-102.3501,69.96,83,91,19.01,US,1698505310
131,roxas city,11.5853,122.7511,76.14,85,49,4.68,PH,1698505310
132,mitchell,43.7094,-98.0298,22.73,55,100,7.23,US,1698505310
133,bredasdorp,-34.5322,20.0403,58.62,62,89,15.75,ZA,1698505310
134,bethel,41.3712,-73.414,75.54,68,0,1.01,US,1698505260
135,pyt-yakh,60.7499,72.8582,18.66,94,12,1.03,RU,1698505311
136,iskateley,67.6803,53.1512,10.02,90,65,8.01,RU,1698505311
137,xiaoweizhai,26.1903,107.5125,61.77,83,98,2.93,CN,1698505311
138,moraleja,40.0162,-6.6977,65.64,76,83,14.03,ES,1698505311
139,colonia,50.9333,6.95,58.12,76,100,13.8,DE,1698505312
140,dadukou,26.5479,101.7054,62.33,73,4,1.07,CN,1698505312
141,puerto ayora,-0.7393,-90.3518,78.76,89,100,10.0,EC,1698505312
142,le port,-20.9373,55.2919,78.8,98,21,2.84,RE,1698505312
143,felipe carrillo puerto,19.5833,-88.05,83.68,60,9,5.55,MX,1698505257
144,thompson,55.7435,-97.8558,19.56,93,100,4.61,CA,1698505312
145,ginir,7.1333,40.7,60.01,87,68,3.65,ET,1698505312
146,margaret river,-33.95,115.0667,58.39,71,100,10.83,AU,1698505312
147,revda,56.801,59.9303,24.89,93,100,10.69,RU,1698505313
148,klyuchi,52.2667,79.1667,29.88,52,99,7.02,RU,1698505313
149,darwin,-12.4611,130.8418,84.18,79,40,6.91,AU,1698505205
150,kirakira,-10.4544,161.9205,78.03,87,93,5.93,SB,1698505313
151,lihue,21.9789,-159.3672,70.84,72,49,3.74,US,1698505313
152,ghat,24.9647,10.1728,93.36,12,11,6.82,LY,1698505313
153,'ain el melh,34.8415,4.1638,73.76,30,100,13.89,DZ,1698505314
154,dryden,49.7833,-92.7503,26.89,93,100,9.22,CA,1698505306
155,lebu,-37.6167,-73.65,54.82,85,100,30.29,CL,1698505263
156,bardai,11.65,7.2333,91.6,16,9,4.85,NG,1698505314
157,isangel,-19.55,169.2667,74.41,89,54,9.06,VU,1698505314
158,mogadishu,2.0371,45.3438,84.07,84,75,10.36,SO,1698505314
159,luanco,43.6152,-5.7934,71.08,56,100,9.89,ES,1698505314
160,zhangjiakou,40.81,114.8794,54.79,37,4,3.76,CN,1698505315
161,sokoni,-6.4333,39.55,85.86,79,66,10.49,TZ,1698505315
162,la ronge,55.1001,-105.2842,19.65,86,75,5.75,CA,1698505315
163,lompoc,34.6391,-120.4579,53.92,81,0,21.0,US,1698505138
164,gaiman,-43.2897,-65.4929,71.91,26,100,39.86,AR,1698505264
165,yuzhno-kurilsk,44.0306,145.8556,52.38,87,99,3.04,RU,1698505315
166,tangalle,6.024,80.7911,77.16,84,96,1.63,LK,1698505315
167,mejit,10.2753,170.8646,83.14,74,77,17.98,MH,1698505316
168,constantia,44.1833,28.65,72.7,42,36,6.55,RO,1698505316
169,college,64.8569,-147.8028,15.46,85,100,1.01,US,1698505316
170,dunedin,-45.8742,170.5036,46.8,71,48,1.99,NZ,1698505109
171,villa gesell,-37.2639,-56.973,71.19,58,1,11.1,AR,1698505316
172,pontianak,-0.0333,109.3333,76.98,100,75,4.61,ID,1698505316
173,vizinga,61.0749,50.1031,25.97,68,100,9.06,RU,1698505317
174,kuqa,41.7278,82.9364,58.19,29,1,6.17,CN,1698505317
175,aykhal,66.0,111.5,10.18,87,93,16.42,RU,1698505317
176,peterhead,57.5058,-1.7981,48.6,88,100,30.42,GB,1698505317
177,ouesso,1.6136,16.0517,84.42,64,72,1.3,CG,1698505318
178,vico del gargano,41.8983,15.9576,66.2,60,29,3.42,IT,1698505318
179,dzilam gonzalez,21.2833,-88.9333,85.37,52,44,8.05,MX,1698505318
180,pawai,24.2667,80.1667,71.58,39,20,3.31,IN,1698505318
181,mamuju,-2.6748,118.8885,78.15,83,95,2.37,ID,1698505319
182,margate,51.3813,1.3862,57.31,83,68,5.01,GB,1698505320
183,fellsmere,27.7678,-80.6014,84.02,68,96,1.99,US,1698505320
184,afaahiti,-17.75,-149.2833,73.27,82,100,4.68,PF,1698505320
185,bathsheba,13.2167,-59.5167,81.21,94,75,17.27,BB,1698505320
186,pacific grove,36.6177,-121.9166,48.65,85,15,2.86,US,1698505320
187,port alfred,-33.5906,26.891,56.17,95,73,4.0,ZA,1698505320
188,vanimo,-2.6741,141.3028,77.61,88,29,2.95,PG,1698505301
189,luanda,-8.8368,13.2343,84.2,65,20,18.41,AO,1698505321
190,lata,40.1629,-8.3327,66.92,81,94,13.24,PT,1698505321
191,chonchi,-42.6128,-73.8092,45.61,85,99,12.64,CL,1698505322
192,egilsstadir,65.2653,-14.3948,39.11,75,20,12.66,IS,1698505322
193,raja,8.4596,25.678,75.69,84,100,4.61,SS,1698505322
194,ust-nera,64.5667,143.2,0.73,99,100,3.36,RU,1698505323
195,bukama,-9.2,25.85,92.43,35,59,5.19,CD,1698505323
196,pitkyaranta,61.5734,31.4792,30.51,92,74,8.88,RU,1698505323
197,anzio,41.4853,12.6179,74.44,54,8,9.46,IT,1698505324
198,sydney,-33.8679,151.2073,59.72,76,65,5.75,AU,1698505134
199,makokou,0.5738,12.8642,79.11,73,92,3.09,GA,1698505324
200,la rinconada,37.4873,-5.9826,73.04,63,40,9.22,ES,1698505324
201,nova sintra,14.8667,-24.7167,75.16,78,49,21.16,CV,1698505325
202,panacan,9.2463,118.4082,80.44,83,21,5.46,PH,1698505325
203,novhorod-sivers'kyy,52.0058,33.2615,41.5,91,100,24.65,UA,1698505325
204,kittila,67.6647,24.8936,24.94,93,100,2.3,FI,1698505325
205,leava,-14.3,-178.1667,79.79,83,66,15.41,WF,1698505326
206,yangambi,0.8102,24.4336,82.71,63,95,2.68,CD,1698505326
207,asentamiento humano nicolas de pierola,-11.95,-76.7,63.14,67,100,8.95,PE,1698505326
208,jawf al maqbabah,13.8378,45.8349,76.14,68,63,10.56,YE,1698505327
209,lodwar,3.1191,35.5973,82.42,58,77,20.04,KE,1698505327
210,umm kaddadah,13.6017,26.6876,94.33,12,100,13.2,SD,1698505328
211,opuwo,-18.0607,13.84,95.13,14,66,18.68,NA,1698505254
212,puerto madryn,-42.7692,-65.0385,68.38,28,100,37.49,AR,1698505328
213,jabor,5.921,169.6434,82.26,75,100,11.48,MH,1698505328
214,sorong,-0.8833,131.25,77.97,86,100,7.56,ID,1698505329
215,badger,64.8,-147.5333,15.37,96,100,1.5,US,1698505329
216,aral,40.5156,81.2636,60.15,23,2,4.27,CN,1698505329
217,cidreira,-30.1811,-50.2056,73.0,75,100,12.24,BR,1698505329
218,anadyr,64.75,177.4833,36.1,93,100,11.18,RU,1698505330
219,saipan,15.1355,145.701,84.18,79,59,16.33,MP,1698505330
220,howrah,22.5892,88.3103,80.6,69,40,0.0,IN,1698505330
221,keflavik,64.0049,-22.5624,46.31,65,0,4.61,IS,1698505330
222,mount isa,-20.7333,139.5,80.37,9,3,10.36,AU,1698505330
223,stanley,54.868,-1.6985,50.52,93,75,9.22,GB,1698505331
224,nagqu,31.5,92.0,23.56,60,73,3.24,CN,1698505331
225,yarmouth,41.7057,-70.2286,73.65,76,0,8.05,US,1698505331
226,qaqortoq,60.7167,-46.0333,33.55,73,21,2.42,GL,1698505331
227,ujae,8.9322,165.7642,83.48,75,12,11.01,MH,1698505332
228,tralee,52.2704,-9.7026,53.85,82,40,8.05,IE,1698505332
229,n'zeto,-7.2312,12.8666,82.31,73,59,12.39,AO,1698505332
230,selfoss,63.9331,-20.9971,43.05,66,97,8.52,IS,1698505332
231,tocopilla,-22.092,-70.1979,67.23,72,12,7.11,CL,1698505333
232,lae,-6.7221,146.9847,75.27,89,68,3.53,PG,1698505333
233,santa marta de ortigueira,43.6833,-7.85,61.25,60,100,7.0,ES,1698505333
234,vorgashor,67.5833,63.95,10.78,97,100,4.23,RU,1698505333
235,port lincoln,-34.7333,135.8667,50.67,76,37,5.06,AU,1698505334
236,uacu cungo,-11.3634,15.1208,77.52,53,71,4.65,AO,1698505334
237,pudozh,61.8099,36.5345,25.95,80,100,4.0,RU,1698505334
238,buinsk,54.95,48.2833,33.46,98,100,10.89,RU,1698505334
239,vodnyy,63.5046,53.4095,21.42,96,100,6.91,RU,1698505334
240,lamu,-2.2717,40.902,80.62,79,66,9.6,KE,1698505335
241,buala,-8.145,159.5921,78.76,84,95,1.77,SB,1698505335
242,daru,-9.0763,143.2092,77.31,90,99,15.01,PG,1698505335
243,dalmatovo,56.26,62.9362,23.83,90,100,10.02,RU,1698505335
244,polyarnyy,69.1989,33.4478,25.57,86,100,4.07,RU,1698505336
245,north bend,43.4065,-124.2243,38.86,100,0,9.22,US,1698505327
246,coahuayana de hidalgo,18.7,-103.6583,81.41,81,97,2.04,MX,1698505336
247,nar'yan-mar,67.6713,53.087,10.11,90,66,8.01,RU,1698505324
248,waynesville,35.4887,-82.9887,69.24,62,1,3.02,US,1698505336
249,semnan,35.5729,53.3971,70.0,25,100,1.63,IR,1698505337
250,kuta,-8.7233,115.1723,78.75,94,20,3.44,ID,1698505337
251,lewistown,40.5992,-77.5714,73.18,83,75,10.36,US,1698505337
252,alaghsas,17.0187,8.0168,98.49,6,0,6.91,NE,1698505337
253,alice springs,-23.7,133.8833,56.75,13,66,0.0,AU,1698505338
254,sombrio,-29.1139,-49.6167,72.97,94,100,5.84,BR,1698505338
255,puerto carreno,6.189,-67.4859,85.98,79,20,6.91,CO,1698505338
256,kolonia town,6.964,158.206,82.67,70,43,1.57,FM,1698505338
257,souillac,-20.5167,57.5167,75.58,94,75,0.0,MU,1698505339
258,bandarbeyla,9.4942,50.8122,80.46,77,100,14.47,SO,1698505339
259,sa'dah,16.9402,43.7639,67.82,51,99,10.65,YE,1698505339
260,i-n-salah,27.1935,2.4607,95.61,10,1,1.52,DZ,1698505339
261,road town,18.4167,-64.6167,82.44,78,40,12.66,VG,1698505340
262,ripon,54.1352,-1.5212,51.01,95,100,8.05,GB,1698505044
263,rio grande,-32.035,-52.0986,73.51,79,84,3.89,BR,1698505080
264,penha,-26.7694,-48.6458,70.9,100,100,6.91,BR,1698505340
265,bageshwar,29.85,79.7667,59.02,70,100,2.89,IN,1698505340
266,bima,-8.4667,118.7167,77.36,85,99,3.8,ID,1698505340
267,khandyga,62.6667,135.6,4.33,95,85,3.51,RU,1698505341
268,udachny,66.4167,112.4,4.8,97,89,8.5,RU,1698505341
269,burang,30.25,81.1667,36.18,77,100,4.18,CN,1698505341
270,rongelap,11.1635,166.8941,82.81,76,67,10.4,MH,1698505341
271,gulf breeze,30.3571,-87.1639,77.23,84,0,6.91,US,1698505341
272,tolanaro,-25.0319,46.9987,78.87,73,20,21.85,MG,1698505342
273,antalaha,-14.9003,50.2788,76.06,83,21,5.23,MG,1698505342
274,malango,-2.9627,119.9001,64.53,66,86,2.71,ID,1698505342
275,najran,17.4924,44.1277,75.85,45,100,10.45,SA,1698505342
276,enewetak,11.3474,162.3373,82.45,76,62,8.01,MH,1698505343
277,birao,10.2849,22.7882,80.65,65,99,10.25,CF,1698505343
278,laojunmiao,39.8333,97.7333,45.37,34,84,2.04,CN,1698505343
279,nantucket,41.2835,-70.0995,72.14,77,0,11.5,US,1698505343
280,harstad,68.799,16.5293,33.15,91,96,8.01,NO,1698505344
281,ajaccio,42.0,8.9167,68.05,64,75,8.05,FR,1698505102
282,esmeraldas,-19.7625,-44.3139,85.24,67,100,6.6,BR,1698505344
283,lerwick,60.1545,-1.1494,48.2,67,57,21.97,GB,1698505344
284,mae sot,16.7167,98.5667,74.77,96,100,1.74,TH,1698505345
285,ciudad insurgentes,25.2625,-111.7753,69.53,69,0,8.52,MX,1698505345
286,sao paulo de olivenca,-3.3783,-68.8725,94.8,46,100,2.77,BR,1698505345
287,ulaangom,49.9811,92.0667,28.11,49,18,4.25,MN,1698505345
288,remire-montjoly,4.9167,-52.2667,93.24,52,75,6.91,GF,1698505345
289,kununurra,-15.7667,128.7333,69.78,49,42,0.0,AU,1698505108
290,inhambane,-23.865,35.3833,76.86,65,0,11.97,MZ,1698505346
291,nuku'alofa,-21.1333,-175.2,71.94,83,20,13.8,TO,1698505346
292,barreirinhas,-2.7469,-42.8264,94.64,42,78,16.04,BR,1698505346
293,banda aceh,5.5577,95.3222,80.01,78,100,1.43,ID,1698505346
294,uturoa,-16.7333,-151.4333,78.12,80,100,7.63,PF,1698505347
295,yamada,39.4667,141.95,56.73,89,74,2.95,JP,1698505347
296,sattenapalle,16.4,80.1833,74.75,91,61,4.41,IN,1698505347
297,banyo,6.75,11.8167,82.67,49,16,5.7,CM,1698505347
298,port isabel,26.0734,-97.2086,86.02,74,0,5.99,US,1698505347
299,goundam,16.4145,-3.6708,101.75,6,12,5.73,ML,1698505348
300,ain arnat,36.1868,5.3135,73.2,31,40,10.36,DZ,1698505348
301,encruzilhada do sul,-30.5439,-52.5219,67.01,94,100,6.08,BR,1698505223
302,sinabang,2.4803,96.3801,78.76,86,99,2.86,ID,1698505349
303,new norfolk,-42.7826,147.0587,51.93,75,51,7.25,AU,1698505349
304,quellon,-43.1167,-73.6167,46.96,75,99,19.91,CL,1698505304
305,pingdingshan,33.7385,113.3012,66.51,54,0,5.48,CN,1698505350
306,gulu,2.7746,32.299,70.03,92,69,4.32,UG,1698505350
307,makanya,-4.3667,37.8333,80.74,59,100,7.52,TZ,1698505350
308,ola,59.5833,151.2833,28.87,69,82,6.2,RU,1698505351
309,canutama,-6.5339,-64.3831,100.15,33,100,3.85,BR,1698505351
310,nuuk,64.1835,-51.7216,30.81,64,2,0.0,GL,1698505351
311,sinop,41.7711,34.8709,62.83,67,99,1.48,TR,1698505351
312,casa branca,-21.7739,-47.0864,74.23,50,100,11.88,BR,1698505105
313,thinadhoo,0.5333,72.9333,81.43,84,33,15.14,MV,1698505352
314,bikaner,28.0167,73.3,86.59,24,99,5.21,IN,1698505352
315,black mountain,35.6179,-82.3212,70.75,78,4,1.01,US,1698505144
316,tidjikja,18.5564,-11.4271,99.36,7,0,8.23,MR,1698505352
317,coquimbo,-29.9533,-71.3436,62.33,63,0,10.36,CL,1698505237
318,akureyri,65.6835,-18.0878,39.13,70,20,0.0,IS,1698505353
319,kiunga,-6.1219,141.2906,74.14,92,99,1.92,PG,1698505353
320,villa regina,-39.1,-67.0667,70.99,20,100,8.01,AR,1698505353
321,contamana,-7.3333,-75.0167,93.22,46,88,6.71,PE,1698505354
322,kodinsk,58.6881,99.1844,26.44,62,100,11.9,RU,1698505354
323,rikaze,29.25,88.8833,43.95,18,56,2.39,CN,1698505354
324,gulf shores,30.246,-87.7008,77.29,73,0,7.0,US,1698505354
325,san antonio de pale,-1.4014,5.6325,79.57,79,10,11.18,GQ,1698505354
326,tazovsky,67.4667,78.7,7.61,91,70,12.41,RU,1698505355
327,puerto san jose,13.9256,-90.8244,80.76,72,81,4.94,GT,1698505355
328,dudinka,69.4058,86.1778,8.67,99,90,3.0,RU,1698505355
329,veraval,20.9,70.3667,82.06,65,79,3.47,IN,1698505355
330,broome,42.2506,-75.833,72.46,78,100,12.66,US,1698505356
331,omdurman,15.6445,32.4777,94.73,25,100,12.8,SD,1698505356
332,al muwayh,22.4333,41.7583,81.41,32,76,9.01,SA,1698505356
333,labuan,5.2767,115.2417,82.76,88,20,0.0,MY,1698505355
334,howard springs,-12.497,131.047,84.11,79,36,5.06,AU,1698505357
335,san juan de miraflores,-12.1629,-76.9635,74.17,73,98,8.99,PE,1698505357
336,cannonvale,-20.2833,148.7,72.79,65,32,15.01,AU,1698505357
337,gevas,38.2968,43.1083,58.66,55,8,1.95,TR,1698505358
338,rosarito,32.3333,-117.0333,57.25,74,1,1.79,MX,1698505358
339,kuzma,46.8369,16.0833,60.94,76,33,3.8,SI,1698505358
340,fort bragg,35.139,-79.006,76.84,63,0,11.5,US,1698505358
341,brookings,44.3114,-96.7984,23.38,92,75,5.75,US,1698505080
342,ghanzi,-21.5667,21.7833,77.81,40,81,14.65,BW,1698505359
343,sao joao da barra,-21.6403,-41.0511,80.69,83,100,5.46,BR,1698505359
344,ada,43.4166,-116.1262,28.45,83,0,4.61,US,1698505359
345,jingmen,31.0336,112.2047,65.07,72,4,2.64,CN,1698505236
346,reni,45.4573,28.2932,67.46,33,5,7.25,UA,1698505359
347,lao cai,22.4833,103.95,74.1,98,100,1.23,VN,1698505360
348,nueva palestina,15.8,-92.75,73.87,81,41,4.52,MX,1698505360
349,arraial do cabo,-22.9661,-42.0278,78.76,88,75,23.02,BR,1698505321
350,la sarre,48.8002,-79.1996,31.91,69,99,13.62,CA,1698505146
351,hithadhoo,-0.6,73.0833,80.91,84,35,15.66,MV,1698505360
352,byndoor,13.8667,74.6333,79.77,73,49,2.08,IN,1698505360
353,burela de cabo,43.65,-7.4,59.18,88,100,18.88,ES,1698505361
354,rafsanjan,30.4067,55.9939,72.7,26,0,5.7,IR,1698505361
355,gaalkacyo,6.7697,47.4308,79.18,75,100,16.78,SO,1698505361
356,ad dujayl,33.8467,44.2344,82.99,28,27,8.55,IQ,1698505361
357,pisco,-13.7,-76.2167,72.01,88,75,6.91,PE,1698505361
358,tadine,-21.55,167.8833,72.03,91,4,7.92,NC,1698505362
359,nurota,40.5614,65.6886,70.88,34,100,4.32,UZ,1698505362
360,villarrubia de los ojos,39.2209,-3.608,64.92,49,45,17.56,ES,1698505362
361,hermanus,-34.4187,19.2345,59.76,63,81,18.81,ZA,1698505362
362,taghazout,30.5426,-9.7112,77.77,71,99,10.56,MA,1698505362
363,kudahuvadhoo,2.6708,72.8944,82.29,79,58,13.76,MV,1698505362
364,barra,-11.0894,-43.1417,94.32,33,59,9.37,BR,1698505363
365,vila franca do campo,37.7167,-25.4333,68.41,99,91,11.1,PT,1698505363
